FIELD	KIND	PATH	LINE	COLUMN	VARIABLE	EXPRESSION	SOURCE
Deleted	read	fortytwo-auth/src/legacy_userdb.c	690	30	record	record.Deleted	audit->deleted = record.Deleted != 0U;
Deleted	read	lib/dbuser.c	79	8	usr	usr.Deleted	if (!usr.Deleted)
Deleted	read	mbnntp/auth.c	172	9	usrconfig	usrconfig.Deleted	if (usrconfig.Deleted || usrconfig.LockedOut) {
Deleted	read	mbsebbs/dispfile.c	75	19	u	u.Deleted	if ((!u.Deleted) && (strlen(u.sUserName) > 0))
Deleted	read	mbsebbs/user.c	225	9	usrconfig	usrconfig.Deleted	if (usrconfig.Deleted || usrconfig.LockedOut) {
Deleted	read	mbsebbs/user.c	229	25	usrconfig	usrconfig.Deleted	usrconfig.Name, usrconfig.Deleted, usrconfig.LockedOut);
Deleted	read	mbsebbs/userlist.c	103	24	u	u.Deleted	if ((!u.Hidden) && (!u.Deleted)) {
Deleted	read	mbsebbs/userlist.c	124	30	u	u.Deleted	} else if ((!u.Hidden) && (!u.Deleted) && (strlen(u.sUserName) > 0)) {
Deleted	read	mbsetup/m_users.c	537	22	usrconfig	usrconfig.Deleted	show_bool(16,17,    usrconfig.Deleted);
Deleted	read	mbsetup/m_users.c	957	13	usrconfig	usrconfig.Deleted	if ((!usrconfig.Deleted) && strlen(usrconfig.sUserName))
Deleted	read	mbutils/mbuser.c	212	7	usr	usr.Deleted	if (!usr.Deleted && strlen(usr.sUserName)) {
Deleted	read	mbutils/mbuser.c	307	10	usr	usr.Deleted	if (usr.Deleted) {
Deleted	read	unix/mblogin.c	610	9	usrconfig	usrconfig.Deleted	if (usrconfig.Deleted || usrconfig.LockedOut) {
Deleted	read	unix/mblogin.c	616	19	usrconfig	usrconfig.Deleted	(unsigned)usrconfig.Deleted,
Deleted	write	mbsetup/m_users.c	862	26	usrconfig	usrconfig.Deleted	"case 7 :E_BOOL(16,17,   usrconfig.Deleted,        ""Is user marked for ^deletion^""); break;"
Deleted	write	mbutils/mbuser.c	286	3	usr	usr.Deleted	usr.Deleted = TRUE;
DoNotDisturb	read	mbsebbs/change.c	504	8	exitinfo	exitinfo.DoNotDisturb	if(exitinfo.DoNotDisturb) {
DoNotDisturb	read	mbsebbs/change.c	515	42	exitinfo	exitinfo.DoNotDisturb	"Syslog('+', ""Do not disturb now %s"", exitinfo.DoNotDisturb?""True"":""False"");"
DoNotDisturb	read	mbsebbs/change.c	516	16	exitinfo	exitinfo.DoNotDisturb	UserSilent(exitinfo.DoNotDisturb);
DoNotDisturb	read	mbsebbs/dispfile.c	524	29	exitinfo	exitinfo.DoNotDisturb	"snprintf(temp, 81, ""%s"", exitinfo.DoNotDisturb?(char *)Language(147):(char *)Language(148));"
DoNotDisturb	read	mbsebbs/user.c	597	16	usrconfig	usrconfig.DoNotDisturb	UserSilent(usrconfig.DoNotDisturb);
DoNotDisturb	read	mbsetup/m_users.c	617	21	usrconfig	usrconfig.DoNotDisturb	show_bool( 9,71,   usrconfig.DoNotDisturb);
DoNotDisturb	read	mbsetup/m_users.c	1110	60	usrconfig	usrconfig.DoNotDisturb	"add_webtable(wp, (char *)""Do not disturb"", getboolean(usrconfig.DoNotDisturb));"
DoNotDisturb	write	mbsebbs/change.c	505	2	exitinfo	exitinfo.DoNotDisturb	exitinfo.DoNotDisturb = FALSE;
DoNotDisturb	write	mbsebbs/change.c	509	2	exitinfo	exitinfo.DoNotDisturb	exitinfo.DoNotDisturb = TRUE;
DoNotDisturb	write	mbsebbs/newuser.c	463	5	usrconfig	usrconfig.DoNotDisturb	usrconfig.DoNotDisturb = FALSE;
DoNotDisturb	write	mbsetup/m_users.c	688	34	usrconfig	usrconfig.DoNotDisturb	"case 17:E_BOOL( 9,71,usrconfig.DoNotDisturb, ""User will not be ^disturbed^""); break;"
DownloadK	read	mbsebbs/dispfile.c	380	28	exitinfo	exitinfo.DownloadK	"snprintf(temp, 81, ""%u"", exitinfo.DownloadK);"
DownloadK	read	mbsebbs/dispfile.c	388	28	exitinfo	exitinfo.DownloadK	"snprintf(temp, 81, ""%u"", exitinfo.DownloadK + exitinfo.UploadK);"
DownloadK	read	mbsebbs/door.c	266	28	exitinfo	exitinfo.DownloadK	"fprintf(fp, ""%d\r\n"", exitinfo.DownloadK);"
DownloadK	read	mbsetup/m_users.c	548	19	usrconfig	usrconfig.DownloadK	show_int( 12,68, usrconfig.DownloadK);
DownloadK	read	mbsetup/m_users.c	1083	52	usrconfig	usrconfig.DownloadK	"add_webdigit(wp, (char *)""Downloaded KBytes"", usrconfig.DownloadK);"
DownloadK	read-write	mbsebbs/file.c	399	5	exitinfo	exitinfo.DownloadK	exitinfo.DownloadK += (Size / 1024);  /* Increase amount download today */
DownloadKToday	read	mbsebbs/filesub.c	436	7	exitinfo	exitinfo.DownloadKToday	if ((exitinfo.DownloadKToday <= 0) || ((CostSize / 1024) > exitinfo.DownloadKToday)) {
DownloadKToday	read	mbsebbs/filesub.c	436	61	exitinfo	exitinfo.DownloadKToday	if ((exitinfo.DownloadKToday <= 0) || ((CostSize / 1024) > exitinfo.DownloadKToday)) {
DownloadKToday	read	mbsebbs/filesub.c	448	65	exitinfo	exitinfo.DownloadKToday	"snprintf(temp, 81, ""%s%u Kbytes."", (char *) Language(254), exitinfo.DownloadKToday);"
DownloadKToday	read	mbsebbs/filesub.c	748	36	exitinfo	exitinfo.DownloadKToday	"Syslog('b', ""DownloadKToday %d"", exitinfo.DownloadKToday);"
DownloadKToday	read-write	mbsebbs/file.c	407	2	exitinfo	exitinfo.DownloadKToday	exitinfo.DownloadKToday -= (Size / 1024);
DownloadKToday	read-write	mbsebbs/filesub.c	747	3	exitinfo	exitinfo.DownloadKToday	exitinfo.DownloadKToday += (Size / 1024);
DownloadKToday	write	mbsebbs/user.c	441	3	usrconfig	usrconfig.DownloadKToday	usrconfig.DownloadKToday = LIMIT.DownK;
Downloads	read	mbsebbs/dispfile.c	376	28	exitinfo	exitinfo.Downloads	"snprintf(temp, 81, ""%d"", exitinfo.Downloads);"
Downloads	read	mbsebbs/door.c	246	28	exitinfo	exitinfo.Downloads	"fprintf(fp, ""%d\r\n"", exitinfo.Downloads);"
Downloads	read	mbsebbs/file.c	245	50	exitinfo	exitinfo.Downloads	"snprintf(local, PATH_MAX, ""./tag/filedesc.%d"", exitinfo.Downloads % 256);"
Downloads	read	mbsebbs/file.c	306	89	exitinfo	exitinfo.Downloads	"snprintf(local, PATH_MAX, ""%s/%s/tag/filedesc.%d"", CFG.bbs_usersdir, exitinfo.Name, exitinfo.Downloads % 256);"
Downloads	read	mbsebbs/file.c	308	45	exitinfo	exitinfo.Downloads	"snprintf(temp, PATH_MAX, ""filedesc.%d"", exitinfo.Downloads % 256);"
Downloads	read	mbsetup/m_users.c	547	19	usrconfig	usrconfig.Downloads	show_int( 11,68, usrconfig.Downloads);
Downloads	read	mbsetup/m_users.c	1082	50	usrconfig	usrconfig.Downloads	"add_webdigit(wp, (char *)""total downloads"", usrconfig.Downloads);"
Downloads	read-write	mbsebbs/file.c	397	5	exitinfo	exitinfo.Downloads	exitinfo.Downloads += Count;          /* Increase download counter      */
Downloads	read-write	mbsebbs/file.c	1042	2	exitinfo	exitinfo.Downloads	exitinfo.Downloads++;    /* Increase download counter */
DownloadsToday	read	mbsebbs/door.c	264	28	exitinfo	exitinfo.DownloadsToday	"fprintf(fp, ""%d\r\n"", exitinfo.DownloadsToday);"
DownloadsToday	write	mbsebbs/user.c	444	17	usrconfig	usrconfig.DownloadsToday	usrconfig.DownloadsToday = LIMIT.DownF;
Email	read	mbfido/mbmsg.c	341	10	usrconfig	usrconfig.Email	if (usrconfig.Email && strlen(usrconfig.Name)) {
Email	read	mbfido/scan.c	171	10	usrconfig	usrconfig.Email	if (usrconfig.Email && strlen(usrconfig.Name)) {
Email	read	mbsebbs/email.c	70	9	exitinfo	exitinfo.Email	if (exitinfo.Email)
Email	read	mbsebbs/email.c	1085	10	exitinfo	exitinfo.Email	if (!exitinfo.Email)
Email	read	mbsebbs/funcs.c	235	41	exitinfo	exitinfo.Email	if ((CFG.EmailMode == E_PRMISP) && exitinfo.Email && CFG.GiveEmail)
Email	read	mbsebbs/mail.c	2522	9	exitinfo	exitinfo.Email	if (exitinfo.Email && strlen(exitinfo.Password)) {
Email	read	mbsebbs/mail.c	2749	9	exitinfo	exitinfo.Email	if (exitinfo.Email) {
Email	read	mbsebbs/offline.c	829	9	exitinfo	exitinfo.Email	if (exitinfo.Email)
Email	read	mbsebbs/user.c	494	34	exitinfo	exitinfo.Email	ChangeHomeDir(exitinfo.Name, exitinfo.Email);
Email	read	mbsetup/m_users.c	544	26	usrconfig	usrconfig.Email	show_bool( 9,68, usrconfig.Email);
Email	read	mbsetup/m_users.c	1080	56	usrconfig	usrconfig.Email	"add_webtable(wp, (char *)""Has e-mail"", getboolean(usrconfig.Email));"
Email	write	fortytwo-auth/src/legacy_userdb_provision.c	439	5	record	record->Email	record->Email = registration->defaults.email ? 1U : 0U;
Email	write	mbsebbs/newuser.c	405	5	usrconfig	usrconfig.Email	usrconfig.Email = CFG.GiveEmail;
Email	write	mbsetup/m_users.c	869	26	usrconfig	usrconfig.Email	"case 13:E_BOOL( 9,68,   usrconfig.Email,          ""User has a ^private email^ mailbox""); break;"
ExpirySec	read	mbsebbs/user.c	387	23	usrconfig	usrconfig.ExpirySec	usrconfig.Security = usrconfig.ExpirySec;
ExpirySec	read	mbsetup/m_users.c	517	21	usrconfig	usrconfig.ExpirySec.level	show_int( 9,17,    usrconfig.ExpirySec.level);
ExpirySec	read	mbsetup/m_users.c	1066	56	usrconfig	usrconfig.ExpirySec	"web_secflags(wp, (char *)""Expiry security level"", usrconfig.ExpirySec);"
ExpirySec	write	fortytwo-auth/src/legacy_userdb_provision.c	430	5	record	record->ExpirySec	record->ExpirySec = record->Security;
ExpirySec	write	mbsebbs/newuser.c	403	5	usrconfig	usrconfig.ExpirySec	usrconfig.ExpirySec = CFG.newuser_access;
ExpirySec	write	mbsetup/m_users.c	859	26	usrconfig	usrconfig.ExpirySec.level	"case 4 :E_INT(  9,17,   usrconfig.ExpirySec.level,""The ^Expiry Level^ for this user""); break;"
FSemacs	read	mbsebbs/change.c	479	9	exitinfo	exitinfo.FSemacs	if (exitinfo.FSemacs) {
FSemacs	read	mbsebbs/change.c	490	58	exitinfo	exitinfo.FSemacs	"Syslog('+', ""FS editor shortcut keys changed to %s"", exitinfo.FSemacs?""Emacs"":""Wordstar"");"
FSemacs	read	mbsebbs/dispfile.c	548	28	exitinfo	exitinfo.FSemacs	"snprintf(temp, 81, ""%s"", exitinfo.FSemacs?(char *)Language(147):(char *)Language(148));"
FSemacs	read	mbsebbs/mail.c	2928	34	exitinfo	exitinfo.FSemacs	"fprintf(fd,""BBSFSEDKEYS='%d'\n"",exitinfo.FSemacs);"
FSemacs	read	mbsetup/m_users.c	624	21	usrconfig	usrconfig.FSemacs	show_bool(16,71,   usrconfig.FSemacs);
FSemacs	read	mbsetup/m_users.c	1117	63	usrconfig	usrconfig.FSemacs	"add_webtable(wp, (char *)""Emacs editor keys"", getboolean(usrconfig.FSemacs));"
FSemacs	write	mbsebbs/change.c	480	2	exitinfo	exitinfo.FSemacs	exitinfo.FSemacs = FALSE;
FSemacs	write	mbsebbs/change.c	484	2	exitinfo	exitinfo.FSemacs	exitinfo.FSemacs = TRUE;
FSemacs	write	mbsetup/m_users.c	696	34	usrconfig	usrconfig.FSemacs	"case 24:E_BOOL(16,71,usrconfig.FSemacs,      ""Use ^Emacs^ or Wordstar shorcut keys in FS editor""); break;"
GraphMode	read	mbsebbs/change.c	631	9	exitinfo	exitinfo.GraphMode	if (exitinfo.GraphMode) {
GraphMode	read	mbsebbs/change.c	641	42	exitinfo	exitinfo.GraphMode	"Syslog ('+', ""Graphics mode now %s"", exitinfo.GraphMode?""On"":""Off"");"
GraphMode	read	mbsebbs/dispfile.c	245	9	exitinfo	exitinfo.GraphMode	if (exitinfo.GraphMode) {
GraphMode	read	mbsebbs/dispfile.c	496	28	exitinfo	exitinfo.GraphMode	"snprintf(temp, 81, ""%s"", exitinfo.GraphMode?(char *)Language(147):(char *)Language(148));"
GraphMode	read	mbsebbs/door.c	233	10	exitinfo	exitinfo.GraphMode	if (exitinfo.GraphMode) {
GraphMode	read	mbsebbs/door.c	302	10	exitinfo	exitinfo.GraphMode	if (exitinfo.GraphMode) {
GraphMode	read	mbsebbs/door.c	355	17	exitinfo	exitinfo.GraphMode	if (exitinfo.GraphMode) {
GraphMode	read	mbsebbs/lastcallers.c	82	6	exitinfo	exitinfo.GraphMode	if (exitinfo.GraphMode) {
GraphMode	read	mbsebbs/lastcallers.c	93	6	exitinfo	exitinfo.GraphMode	if (exitinfo.GraphMode) {
GraphMode	read	mbsebbs/lastcallers.c	106	6	exitinfo	exitinfo.GraphMode	if (exitinfo.GraphMode) {
GraphMode	read	mbsebbs/lastcallers.c	118	7	exitinfo	exitinfo.GraphMode	if (exitinfo.GraphMode) {
GraphMode	read	mbsebbs/lastcallers.c	126	7	exitinfo	exitinfo.GraphMode	if (exitinfo.GraphMode) {
GraphMode	read	mbsebbs/lastcallers.c	164	6	exitinfo	exitinfo.GraphMode	if (exitinfo.GraphMode) {
GraphMode	read	mbsebbs/mail.c	2931	32	exitinfo	exitinfo.GraphMode	"fprintf(fd,""ANSIMODE='%d'\n"", exitinfo.GraphMode);"
GraphMode	read	mbsebbs/term.c	62	9	exitinfo	exitinfo.GraphMode	if (exitinfo.GraphMode) {
GraphMode	read	mbsebbs/term.c	84	9	exitinfo	exitinfo.GraphMode	if (exitinfo.GraphMode) {
GraphMode	read	mbsebbs/term.c	106	9	exitinfo	exitinfo.GraphMode	if (exitinfo.GraphMode) {
GraphMode	read	mbsebbs/term.c	179	9	exitinfo	exitinfo.GraphMode	if (exitinfo.GraphMode) { /* User has ANSI enabled */
GraphMode	read	mbsetup/m_users.c	616	21	usrconfig	usrconfig.GraphMode	show_bool( 8,71,   usrconfig.GraphMode);
GraphMode	read	mbsetup/m_users.c	1109	60	usrconfig	usrconfig.GraphMode	"add_webtable(wp, (char *)""Use ANSI color"", getboolean(usrconfig.GraphMode));"
GraphMode	write	fortytwo-auth/src/legacy_userdb_provision.c	431	5	record	record->GraphMode	record->GraphMode = 1U;
GraphMode	write	mbsebbs/change.c	632	9	exitinfo	exitinfo.GraphMode	exitinfo.GraphMode = FALSE;
GraphMode	write	mbsebbs/change.c	636	9	exitinfo	exitinfo.GraphMode	exitinfo.GraphMode = TRUE;
GraphMode	write	mbsebbs/newuser.c	417	17	usrconfig	usrconfig.GraphMode	usrconfig.GraphMode = TRUE;
GraphMode	write	mbsebbs/newuser.c	421	17	usrconfig	usrconfig.GraphMode	usrconfig.GraphMode = FALSE;
GraphMode	write	mbsebbs/newuser.c	429	9	usrconfig	usrconfig.GraphMode	usrconfig.GraphMode = TRUE; /* Default set it to ANSI */
GraphMode	write	mbsetup/m_users.c	687	34	usrconfig	usrconfig.GraphMode	"case 16:E_BOOL( 8,71,usrconfig.GraphMode,    ""Is user using ^ANSI^ color""); break;"
Guest	read	mbsebbs/bye.c	102	10	usrconfig	usrconfig.Guest	if (!usrconfig.Guest) {
Guest	read	mbsebbs/change.c	169	9	exitinfo	exitinfo.Guest	if (exitinfo.Guest) {
Guest	read	mbsetup/m_users.c	542	26	usrconfig	usrconfig.Guest	show_bool( 7,68, usrconfig.Guest);
Guest	read	mbsetup/m_users.c	1078	56	usrconfig	usrconfig.Guest	"add_webtable(wp, (char *)""Guest user"", getboolean(usrconfig.Guest));"
Guest	read	mbutils/mbuser.c	273	83	usr	usr.Guest	if ((((t_start - Last) / 86400) > days) && (usr.Security.level < level) && (!usr.Guest) &&
Guest	write	mbsetup/m_users.c	867	26	usrconfig	usrconfig.Guest	"case 11:E_BOOL( 7,68,   usrconfig.Guest,          ""This is a ^Guest^ account""); break;"
Hidden	read	mbsebbs/misc.c	213	17	exitinfo	exitinfo.Hidden	LCALL.Hidden = exitinfo.Hidden;
Hidden	read	mbsebbs/user.c	93	22	usrconfig	usrconfig.Hidden	if (!usrconfig.Hidden) {
Hidden	read	mbsebbs/userlist.c	103	9	u	u.Hidden	if ((!u.Hidden) && (!u.Deleted)) {
Hidden	read	mbsebbs/userlist.c	124	15	u	u.Hidden	} else if ((!u.Hidden) && (!u.Deleted) && (strlen(u.sUserName) > 0)) {
Hidden	read	mbsetup/m_users.c	536	29	usrconfig	usrconfig.Hidden	show_bool(15,17,    usrconfig.Hidden);
Hidden	read	mbsetup/m_users.c	1074	63	usrconfig	usrconfig.Hidden	"add_webtable(wp, (char *)""Hidden from lists"", getboolean(usrconfig.Hidden));"
Hidden	write	mbsetup/m_users.c	861	26	usrconfig	usrconfig.Hidden	"case 6 :E_BOOL(15,17,   usrconfig.Hidden,         ""Is user ^hidden^ on the BBS""); break;"
HotKeys	read	mbsebbs/change.c	344	9	exitinfo	exitinfo.HotKeys	if (exitinfo.HotKeys) {
HotKeys	read	mbsebbs/change.c	356	42	exitinfo	exitinfo.HotKeys	"Syslog('+', ""Hotkeys changed to %s"", exitinfo.HotKeys?""True"":""False"");"
HotKeys	read	mbsebbs/dispfile.c	500	28	exitinfo	exitinfo.HotKeys	"snprintf(temp, 81, ""%s"", exitinfo.HotKeys?(char *)Language(147):(char *)Language(148));"
HotKeys	read	mbsebbs/menu.c	209	10	exitinfo	exitinfo.HotKeys	if (exitinfo.HotKeys) {
HotKeys	read	mbsebbs/offline.c	1236	9	exitinfo	exitinfo.HotKeys	if (exitinfo.HotKeys)
HotKeys	read	mbsetup/m_users.c	615	21	usrconfig	usrconfig.HotKeys	show_bool( 7,71,   usrconfig.HotKeys);
HotKeys	read	mbsetup/m_users.c	1108	57	usrconfig	usrconfig.HotKeys	"add_webtable(wp, (char *)""Use hotkeys"", getboolean(usrconfig.HotKeys));"
HotKeys	write	fortytwo-auth/src/legacy_userdb_provision.c	432	5	record	record->HotKeys	record->HotKeys = 1U;
HotKeys	write	mbsebbs/change.c	345	2	exitinfo	exitinfo.HotKeys	exitinfo.HotKeys = FALSE;
HotKeys	write	mbsebbs/change.c	349	2	exitinfo	exitinfo.HotKeys	exitinfo.HotKeys = TRUE;
HotKeys	write	mbsebbs/newuser.c	441	3	usrconfig	usrconfig.HotKeys	usrconfig.HotKeys = TRUE;
HotKeys	write	mbsebbs/newuser.c	445	3	usrconfig	usrconfig.HotKeys	usrconfig.HotKeys = FALSE;
HotKeys	write	mbsebbs/newuser.c	453	2	usrconfig	usrconfig.HotKeys	usrconfig.HotKeys = TRUE; /* Default set it to Hotkeys */
HotKeys	write	mbsetup/m_users.c	686	34	usrconfig	usrconfig.HotKeys	"case 15:E_BOOL( 7,71,usrconfig.HotKeys,      ""Is user using ^HotKeys^ for menus""); break;"
LockedOut	read	fortytwo-auth/src/legacy_userdb.c	691	33	record	record.LockedOut	audit->locked_out = record.LockedOut != 0U;
LockedOut	read	mbnntp/auth.c	172	30	usrconfig	usrconfig.LockedOut	if (usrconfig.Deleted || usrconfig.LockedOut) {
LockedOut	read	mbsebbs/user.c	225	30	usrconfig	usrconfig.LockedOut	if (usrconfig.Deleted || usrconfig.LockedOut) {
LockedOut	read	mbsebbs/user.c	229	44	usrconfig	usrconfig.LockedOut	usrconfig.Name, usrconfig.Deleted, usrconfig.LockedOut);
LockedOut	read	mbsetup/m_users.c	541	26	usrconfig	usrconfig.LockedOut	show_bool( 6,68, usrconfig.LockedOut);
LockedOut	read	mbsetup/m_users.c	1077	56	usrconfig	usrconfig.LockedOut	"add_webtable(wp, (char *)""Locked out"", getboolean(usrconfig.LockedOut));"
LockedOut	read	unix/mblogin.c	610	30	usrconfig	usrconfig.LockedOut	if (usrconfig.Deleted || usrconfig.LockedOut) {
LockedOut	read	unix/mblogin.c	617	19	usrconfig	usrconfig.LockedOut	(unsigned)usrconfig.LockedOut);
LockedOut	write	mbsetup/m_users.c	866	26	usrconfig	usrconfig.LockedOut	"case 10:E_BOOL( 6,68,   usrconfig.LockedOut,      ""User is ^Locked Out^ of this BBS""); break;"
MailScan	read	mbsebbs/change.c	370	9	exitinfo	exitinfo.MailScan	if (exitinfo.MailScan) {
MailScan	read	mbsebbs/change.c	382	49	exitinfo	exitinfo.MailScan	"Syslog('+', ""New Mail Check changed to %s"", exitinfo.MailScan ?""True"":""False"");"
MailScan	read	mbsebbs/dispfile.c	528	28	exitinfo	exitinfo.MailScan	"snprintf(temp, 81, ""%s"", exitinfo.MailScan?(char *)Language(147):(char *)Language(148));"
MailScan	read	mbsebbs/user.c	569	9	exitinfo	exitinfo.MailScan	if (exitinfo.MailScan) {
MailScan	read	mbsetup/m_users.c	621	21	usrconfig	usrconfig.MailScan	show_bool(13,71,   usrconfig.MailScan);
