FIELD	CATEGORY	AUTHORITY	DECISION_STATUS	POSTGRESQL_TABLE	POSTGRESQL_TARGET	KIND	PATH	LINE	COLUMN	VARIABLE	EXPRESSION	SOURCE
iTimeLeft	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/dispfile.c	504	49	exitinfo	exitinfo.iTimeLeft	"snprintf(temp, 81, ""%d"", exitinfo.iTimeUsed + exitinfo.iTimeLeft);"
iTimeLeft	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/door.c	190	16	exitinfo	exitinfo.iTimeLeft	alarm_set((exitinfo.iTimeLeft * 60) - 10);
iTimeLeft	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/door.c	191	13	exitinfo	exitinfo.iTimeLeft	Altime((exitinfo.iTimeLeft * 60));
iTimeLeft	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/door.c	231	28	exitinfo	exitinfo.iTimeLeft	"fprintf(fp, ""%d\r\n"", exitinfo.iTimeLeft * 60);	/* Seconds	*/"
iTimeLeft	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/door.c	232	28	exitinfo	exitinfo.iTimeLeft	"fprintf(fp, ""%d\r\n"", exitinfo.iTimeLeft);	/* Minutes	*/"
iTimeLeft	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/door.c	301	28	exitinfo	exitinfo.iTimeLeft	"fprintf(fp, ""%d\r\n"", exitinfo.iTimeLeft);	    /* User's time left in minutes	*/"
iTimeLeft	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/door.c	361	35	exitinfo	exitinfo.iTimeLeft	"fprintf(fp, ""%d\r\n"", exitinfo.iTimeLeft);"
iTimeLeft	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	write	mbsebbs/newuser.c	455	5	usrconfig	usrconfig.iTimeLeft	usrconfig.iTimeLeft    = 20;  /* Set Timeleft in users file to 20 */
iTimeLeft	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read-write	mbsebbs/timecheck.c	109	6	exitinfo	exitinfo.iTimeLeft	exitinfo.iTimeLeft    -= Elapsed;
iTimeLeft	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/timecheck.c	116	9	exitinfo	exitinfo.iTimeLeft	if (exitinfo.iTimeLeft <= 0) {
iTimeLeft	time-account	Legacy bis zur Einzelentscheidung	open	noch nicht festgelegt	noch nicht festgelegt	read	mbsebbs/timestats.c	89	59	exitinfo	exitinfo.iTimeLeft	"snprintf(msg, 81, ""%s %d %s"", (char *) Language(140), exitinfo.iTimeLeft, (char *) Language(471));"
